ID,Living Area,Total Area,Above the Ground Area,Basement Area,Neighbors Living Area,Neighbors Total Area,Bedrooms,Bathrooms,Floors,Waterfront,View,Condition,Grade,Year Built,Year Renovated,Zipcode,Latitude,Longitude,Price
2525310040,98,961,98,0,139,897,3,1.0,1.0,0,0,4,7,1980,0,98038,47.365,-122.02799999999999,3090000000.0
638100015,143,6313,143,0,116,845,3,2.0,1.0,0,0,3,7,1997,0,98059,47.5018,-122.126,6675000000.0
7199340320,226,706,131,95,191,715,3,2.5,1.0,0,0,3,7,1981,0,98052,47.6966,-122.12700000000001,7500000000.0
4014400190,264,7931,183,81,157,5382,4,2.5,1.5,0,0,3,8,2000,0,98001,47.317,-122.281,7230000000.0
3964400160,156,393,156,0,135,393,3,1.75,1.5,0,0,4,7,1926,0,98144,47.5745,-122.311,8100000000.0
3919000030,192,891,117,75,181,724,5,2.5,1.0,0,0,3,7,1962,0,98146,47.4997,-122.36399999999999,5925000000.0
2914700310,131,599,131,0,155,589,4,1.0,1.0,0,0,4,7,1953,0,98117,47.6988,-122.35799999999999,5970000000.0
1725059259,151,1522,151,0,174,2182,3,1.0,1.0,0,0,3,7,1969,0,98033,47.6576,-122.186,6562500000.0
7852130720,208,723,208,0,230,466,3,2.5,2.0,0,0,3,7,2002,0,98065,47.5361,-121.88,6787500000.0
7655900031,54,809,54,0,127,628,2,1.0,1.0,0,0,3,6,1953,0,98133,47.7343,-122.335,3600000000.0
705710290,203,626,203,0,181,664,4,2.75,2.0,0,0,3,7,1995,0,98038,47.3804,-122.027,5422500000.0
6300500081,123,111,123,0,123,112,3,2.5,3.0,0,0,3,7,2002,0,98133,47.7034,-122.344,4500000000.0
9272201318,146,183,109,37,139,177,3,2.0,2.5,0,2,3,8,2007,0,98116,47.5903,-122.38600000000001,8100000000.0
3886903615,318,668,318,0,142,724,4,2.5,2.0,0,0,3,9,2014,0,98033,47.6842,-122.196,19350000000.0
2927600415,265,1045,212,53,188,1045,3,2.25,1.0,0,1,5,8,1956,0,98166,47.4534,-122.37200000000001,12075000000.0
8864000425,146,566,73,73,123,566,3,1.75,1.0,0,0,5,7,1944,0,98168,47.4807,-122.29,3630000000.0
6662410250,207,1040,120,87,194,981,4,2.25,1.0,0,0,4,7,1977,0,98011,47.7691,-122.167,7200000000.0
8691440220,405,746,405,0,331,574,5,4.0,2.0,0,0,3,10,2015,0,98075,47.5923,-121.973,19349850000.0
2895800590,201,255,201,0,167,255,5,2.5,2.0,0,0,3,8,2014,0,98106,47.5167,-122.34700000000001,5397000000.0
6450301220,65,438,65,0,83,487,1,1.0,1.0,0,0,3,6,1939,0,98133,47.7328,-122.34,3960000000.0
2141330700,218,756,132,86,245,808,4,2.25,1.0,0,0,4,8,1977,0,98006,47.5579,-122.12899999999999,8325000000.0
293000165,190,593,125,65,147,670,3,1.5,1.0,0,0,3,7,1958,0,98126,47.5325,-122.37799999999999,6630000000.0
5151600360,145,1161,145,0,196,1230,3,1.75,1.0,0,0,4,8,1959,0,98003,47.3365,-122.319,4770000000.0
1788800080,96,936,96,0,92,811,3,1.0,1.0,0,0,3,6,1959,0,98023,47.32899999999999,-122.34299999999999,2773500000.0
4139400910,232,959,232,0,251,778,4,2.5,2.0,0,0,3,10,1992,0,98006,47.5595,-122.11399999999999,11100000000.0
1311600030,171,682,97,74,134,673,4,1.75,1.0,0,0,3,7,1965,0,98001,47.3413,-122.277,4050000000.0
1180002580,82,557,82,0,102,557,2,1.0,1.0,0,0,2,6,1919,0,98178,47.4976,-122.225,2700000000.0
7504001340,171,1166,171,0,222,1158,3,3.0,2.0,0,0,3,9,1976,0,98074,47.6286,-122.053,8475000000.0
8807300570,96,891,96,0,127,1011,3,1.0,1.0,0,0,3,7,1978,0,98053,47.6738,-122.06299999999999,5999250000.0
1523049188,65,1870,65,0,138,1730,2,1.0,1.0,0,0,3,6,1949,0,98168,47.4752,-122.271,1260000000.0
3204300455,272,557,178,94,173,468,3,2.25,2.0,0,2,3,11,2000,0,98112,47.6301,-122.301,20775000000.0
3331001115,147,289,147,0,101,455,3,2.5,2.0,0,0,3,7,1994,0,98118,47.5515,-122.28399999999999,4485000000.0
2819100140,135,602,91,44,202,642,3,1.5,1.0,0,2,4,7,1940,0,98117,47.6962,-122.397,10125000000.0
7682200320,149,703,103,46,178,780,3,2.0,1.0,0,0,4,7,1965,0,98003,47.333999999999996,-122.3,2961000000.0
1698900195,174,278,96,78,166,278,3,2.0,1.0,0,0,4,8,1931,0,98109,47.6418,-122.351,10650000000.0
2883200160,187,264,187,0,177,289,4,2.0,2.0,0,0,3,7,1960,0,98115,47.6831,-122.329,8925000000.0
9274200028,99,101,83,16,134,133,3,2.5,2.0,0,0,3,7,2009,0,98116,47.5902,-122.387,5804250000.0
6204410330,223,780,148,75,171,780,4,1.75,1.0,0,0,3,7,1978,0,98011,47.7341,-122.2,6480000000.0
1861400060,186,334,186,0,186,334,4,1.75,1.5,0,0,3,7,1902,0,98119,47.6337,-122.37100000000001,11100000000.0
3905050240,179,418,179,0,164,418,3,2.5,2.0,0,0,3,8,1990,0,98029,47.5791,-122.001,6375000000.0
7128300500,195,278,195,0,153,418,3,2.25,2.0,0,0,3,7,1996,0,98144,47.595,-122.306,7425000000.0
1922059401,100,2426,100,0,159,1891,4,1.0,1.5,0,0,5,5,1900,0,98030,47.3834,-122.215,4125000000.0
6142100090,168,1207,136,32,171,1207,4,2.5,1.0,0,0,4,8,1977,0,98022,47.2202,-121.993,4185000000.0
3034200410,87,1163,87,0,178,840,3,1.0,1.5,0,0,4,7,1949,0,98133,47.7169,-122.331,6450000000.0
7177300090,100,273,100,0,130,458,3,1.5,1.5,0,0,4,7,1920,0,98115,47.6832,-122.304,5925000000.0
3319500299,88,62,78,10,88,118,2,1.5,2.0,0,0,3,7,2003,0,98144,47.6005,-122.306,4560000000.0
7211400506,130,232,130,0,119,482,3,2.5,2.0,0,0,3,7,2006,0,98146,47.5132,-122.35799999999999,3975000000.0
666000142,181,170,149,32,189,197,3,3.0,3.0,0,0,3,9,2009,0,98004,47.6078,-122.20200000000001,11977500000.0
2204500480,132,802,132,0,132,914,3,1.0,1.0,0,0,5,7,1954,0,98006,47.571999999999996,-122.147,8266500000.0
2843200070,154,996,89,65,124,838,4,1.75,1.0,0,0,3,7,1956,0,98168,47.5033,-122.3,4230000000.0
524069011,212,1335,212,0,212,3107,3,2.5,2.0,0,0,3,8,1983,2012,98075,47.5886,-122.074,9337500000.0
2926049376,98,968,98,0,208,947,2,1.0,1.5,0,0,3,7,1965,0,98125,47.705,-122.31299999999999,3300000000.0
1826049426,215,1149,155,60,192,889,4,2.75,1.0,0,0,3,8,1968,0,98133,47.7373,-122.35,6675000000.0
3438500924,282,613,282,0,153,634,5,3.0,2.0,0,0,3,9,2005,0,98106,47.548,-122.35600000000001,8083500000.0
2946000912,117,662,117,0,117,741,3,1.5,1.0,0,0,4,6,1954,0,98198,47.422,-122.321,3187500000.0
98001000,469,1532,469,0,424,1532,5,3.5,2.0,0,2,3,11,2001,0,98075,47.5863,-121.96700000000001,15375000000.0
8861000210,137,758,96,41,201,1033,3,1.75,1.0,0,0,3,7,1953,0,98004,47.638000000000005,-122.206,12975000000.0
4141000490,295,1218,295,0,285,1194,4,2.5,2.0,0,0,4,11,1986,0,98040,47.5382,-122.23,18000000000.0
148000680,154,445,89,65,140,445,3,1.75,1.0,0,0,3,7,1941,1996,98116,47.5734,-122.412,7950000000.0
224059025,456,4046,371,85,328,1141,3,3.0,2.0,0,0,4,10,1989,0,98007,47.5911,-122.131,16200000000.0
1423700680,129,715,129,0,117,715,3,1.75,1.0,0,0,5,7,1965,0,98058,47.4559,-122.18299999999999,2850000000.0
5210200077,240,734,240,0,157,695,4,2.5,2.0,0,0,3,9,2001,0,98115,47.6978,-122.28399999999999,11985000000.0
8848400020,143,752,87,56,170,752,3,1.75,1.0,0,0,4,7,1947,0,98133,47.748999999999995,-122.351,6450000000.0
1972205633,131,127,124,7,143,201,3,2.0,2.5,0,0,3,9,2007,0,98109,47.6472,-122.35700000000001,8250000000.0
3221069035,248,17603,248,0,203,20309,4,1.75,2.0,0,4,3,8,1972,0,98092,47.2585,-122.061,6000000000.0
200500680,243,1027,243,0,237,807,3,2.5,2.0,0,0,3,9,1988,0,98011,47.7378,-122.21799999999999,8362500000.0
1431700210,146,689,93,53,158,722,3,1.0,1.0,0,0,3,7,1962,0,98058,47.4607,-122.171,4575000000.0
2854800095,141,661,141,0,134,745,3,1.5,1.0,0,0,4,7,1959,0,98056,47.4991,-122.176,4389000000.0
9510900360,178,750,140,38,178,727,3,2.0,1.0,0,0,4,7,1969,0,98023,47.3092,-122.375,3900000000.0
6052400575,108,829,108,0,128,691,2,1.0,1.0,0,2,3,6,1911,0,98198,47.4017,-122.321,2625000000.0
222029026,98,4486,52,46,69,7450,2,0.75,1.0,1,2,5,6,1947,0,98070,47.4285,-122.51100000000001,5100000000.0
1854750010,389,894,389,0,339,773,3,2.5,2.0,0,0,3,10,1999,0,98006,47.5642,-122.12700000000001,17250000000.0
8024200684,130,101,130,0,117,131,3,1.5,3.0,0,0,3,8,2007,0,98115,47.6989,-122.31700000000001,6292500000.0
9550202730,137,289,86,51,92,351,2,1.5,1.0,0,0,3,7,1914,2007,98105,47.6684,-122.323,7638750000.0
7387500235,182,755,91,91,99,694,3,1.75,1.0,0,0,3,7,1948,0,98106,47.5208,-122.36399999999999,5445000000.0
6926700660,134,91,134,0,138,115,2,2.0,3.0,0,0,3,9,2014,0,98109,47.6354,-122.346,10200000000.0
3396820150,282,753,282,0,187,771,5,2.25,2.0,0,0,3,8,1984,0,98052,47.7157,-122.103,8430000000.0
9834200165,166,379,166,0,158,379,4,1.5,1.5,0,0,5,7,1928,0,98144,47.5749,-122.291,10564500000.0
6699940250,242,544,242,0,230,481,4,2.5,2.0,0,0,3,8,2005,0,98038,47.3441,-122.04,5250000000.0
8857600960,87,741,87,0,106,747,3,1.0,1.0,0,0,4,7,1960,0,98032,47.3838,-122.289,3075000000.0
5631500868,287,1471,222,65,204,1802,4,3.5,2.0,0,0,3,8,1996,0,98028,47.7466,-122.242,8850000000.0
7889600080,97,579,97,0,130,579,3,1.0,1.0,0,0,5,5,1948,0,98146,47.4933,-122.338,3120000000.0
7834800225,186,371,112,74,164,371,3,2.0,1.0,0,0,5,7,1915,0,98103,47.6638,-122.329,13125000000.0
2126059294,345,719,345,0,286,1028,4,4.5,2.0,0,0,3,10,2014,0,98034,47.7323,-122.165,14400000000.0
1727500280,164,650,164,0,165,603,4,2.25,1.0,0,0,5,7,1972,0,98034,47.7193,-122.21799999999999,7200000000.0
3348401319,230,937,120,110,212,919,5,3.0,1.0,0,0,3,7,2004,0,98178,47.4964,-122.26299999999999,5587500000.0
4140900140,153,1202,153,0,262,1170,3,1.75,1.0,0,0,4,7,1961,0,98028,47.7629,-122.26799999999999,6570000000.0
1646502165,108,430,64,44,115,382,2,1.75,1.0,0,0,4,6,1924,0,98117,47.6842,-122.359,7200000000.0
7207900050,256,357,256,0,256,426,5,3.5,2.5,0,0,3,8,2013,0,98056,47.5047,-122.17,6374250000.0
6448000100,343,1911,171,172,286,1634,4,3.0,1.0,0,0,4,10,1976,0,98004,47.6212,-122.22399999999999,25920000000.0
952001495,201,534,127,74,134,534,4,1.75,1.0,0,2,3,7,1975,0,98116,47.5668,-122.383,8820000000.0
3277801586,141,136,115,26,158,136,3,2.25,2.0,0,0,3,8,2010,0,98126,47.543,-122.375,5700000000.0
9558010190,188,417,188,0,188,421,4,2.5,2.0,0,0,3,8,2003,0,98058,47.4511,-122.119,5482500000.0
7950304045,152,278,92,60,106,422,4,2.75,1.0,0,0,3,7,1984,0,98118,47.5625,-122.28299999999999,4800000000.0
710300010,252,5021,252,0,239,3504,4,2.75,2.0,0,0,3,8,1985,0,98072,47.7181,-122.089,10200000000.0
7237500530,412,990,412,0,407,926,4,3.5,2.0,0,0,3,11,2003,0,98059,47.5294,-122.137,15555000000.0
3396800120,202,1031,114,88,179,1114,3,2.5,1.0,0,0,3,8,1983,0,98052,47.717,-122.101,8100000000.0
6882510020,167,484,100,67,173,498,4,1.75,1.0,0,0,5,7,1979,0,98118,47.5298,-122.28,5100000000.0
538000030,143,580,143,0,192,580,3,2.0,1.0,0,0,3,7,1998,0,98038,47.3539,-122.025,4087500000.0
826069085,193,4734,147,46,210,4815,3,2.25,1.0,0,0,3,8,1979,0,98077,47.7506,-122.06299999999999,6900000000.0
3356403400,126,1858,126,0,142,928,3,1.0,1.0,0,0,4,7,1953,0,98001,47.2861,-122.25299999999999,2385000000.0
1126059022,247,3745,247,0,246,4208,4,2.5,2.0,0,0,4,8,1977,0,98072,47.7532,-122.139,10011000000.0
4083305633,136,107,136,0,136,139,3,3.25,3.0,0,0,3,8,2003,0,98103,47.6516,-122.337,9225000000.0
193600200,108,811,108,0,173,784,3,1.75,1.0,0,0,4,7,1968,0,98052,47.6849,-122.117,6600000000.0
3057000300,113,305,113,0,113,245,3,1.5,2.0,0,0,3,7,1982,0,98033,47.7168,-122.189,4425000000.0
4204400175,267,929,183,84,196,885,5,3.5,2.0,0,3,3,8,1991,0,98055,47.4874,-122.223,6585000000.0
7229210060,183,1047,137,46,141,744,3,1.75,1.0,0,0,4,7,1968,0,98058,47.4474,-122.167,4499250000.0
2287600035,173,836,173,0,188,758,3,1.75,1.0,0,0,5,9,1958,0,98177,47.7203,-122.361,8938320000.0
3575305362,161,929,161,0,125,696,3,1.75,1.0,0,0,3,7,1976,2009,98074,47.617,-122.05799999999999,7755000000.0
126039413,249,1091,166,83,248,734,5,2.5,1.0,0,0,3,8,1960,0,98177,47.7708,-122.36200000000001,7035000000.0
1250200605,110,334,110,0,156,334,3,1.0,1.5,0,0,3,6,1904,0,98144,47.5985,-122.29799999999999,5250000000.0
3121500150,353,2046,353,0,294,2320,4,2.5,2.0,0,0,3,9,1993,0,98053,47.6734,-122.02600000000001,13410000000.0
8562850150,150,803,110,40,186,803,3,1.75,1.0,0,0,3,7,1973,0,98052,47.6651,-122.15100000000001,7006500000.0
1329300300,200,562,200,0,214,535,4,2.5,2.0,0,0,3,8,2012,0,98030,47.3513,-122.17399999999999,5025000000.0
6855700080,115,821,115,0,116,821,3,1.0,1.0,0,0,3,6,1952,0,98125,47.7277,-122.30799999999999,4424250000.0
5680001095,254,891,127,127,184,445,5,1.75,1.0,0,0,4,7,1945,0,98144,47.5738,-122.315,7050000000.0
2391600320,96,470,96,0,82,470,3,1.0,1.0,0,0,3,7,1941,0,98116,47.5636,-122.39399999999999,7200000000.0
1239400064,264,792,264,0,226,657,4,2.5,2.0,0,0,3,9,1998,0,98033,47.6747,-122.191,13425000000.0
191100672,293,884,293,0,222,884,4,3.75,2.5,0,0,3,10,1997,0,98040,47.5623,-122.221,20715000000.0
1446400725,90,613,90,0,111,613,3,1.0,1.0,0,0,3,7,1965,0,98168,47.4836,-122.33200000000001,2475000000.0
7883603750,130,557,65,65,95,557,3,1.75,1.0,0,0,4,7,1919,0,98108,47.5283,-122.321,5055000000.0
1402950240,192,694,192,0,225,510,4,2.5,2.0,0,0,3,8,2003,0,98092,47.3352,-122.189,4500000000.0
4310701600,115,103,115,0,130,125,3,2.5,3.0,0,0,3,8,2003,0,98103,47.6985,-122.34,5100000000.0
6844700810,97,426,78,19,164,501,3,1.5,1.0,0,0,3,7,1949,0,98115,47.6943,-122.29,6583860000.0
1336300445,290,245,212,78,271,418,4,3.0,2.5,0,0,5,9,1906,0,98102,47.6272,-122.316,18975000000.0
8677300720,231,1201,231,0,226,1201,4,2.5,2.0,0,0,3,9,1983,0,98074,47.6161,-122.021,9240000000.0
1823049179,217,902,217,0,109,1254,4,2.0,1.0,0,0,3,7,2009,0,98146,47.4842,-122.34700000000001,5775000000.0
1774000780,179,1211,109,70,174,950,4,2.75,1.0,0,0,4,8,1980,0,98072,47.7502,-122.085,7042500000.0
923000095,144,752,105,39,197,752,3,1.0,1.0,0,0,4,8,1952,0,98177,47.7261,-122.36399999999999,7875000000.0
662440020,224,462,224,0,224,464,4,2.5,2.0,0,0,3,9,2009,0,98038,47.3785,-122.023,5700000000.0
7701990380,268,1523,268,0,294,1523,4,2.75,2.0,0,0,3,10,1997,0,98077,47.7102,-122.072,11925000000.0
3649100586,196,971,133,63,184,1011,3,1.75,1.0,0,0,4,8,1978,0,98028,47.7344,-122.24600000000001,7245000000.0
2695600195,89,473,89,0,163,416,2,1.0,1.0,0,0,5,7,1949,0,98126,47.5314,-122.37799999999999,5692500000.0
4157600120,232,1105,130,102,261,1105,5,2.5,1.0,0,0,3,7,1963,0,98007,47.5915,-122.132,8700000000.0
2896000680,261,1641,152,109,222,1044,4,2.75,1.0,0,0,4,8,1978,0,98052,47.6745,-122.14399999999999,9000000000.0
4402700593,133,725,79,54,143,713,2,1.0,1.0,0,0,4,7,1949,0,98133,47.7431,-122.336,5925000000.0
5652601155,182,570,117,65,185,655,4,1.75,1.0,0,0,4,7,1960,0,98115,47.6968,-122.29899999999999,8460000000.0
3876000440,283,696,167,116,191,729,5,2.75,1.0,0,0,4,8,1966,0,98034,47.7249,-122.18700000000001,7767750000.0
1775800860,171,1114,120,51,146,1172,3,2.25,1.0,0,0,4,7,1977,0,98072,47.7408,-122.101,7042500000.0
985001321,147,2260,105,42,92,1507,4,1.0,1.5,0,0,3,6,1942,0,98168,47.4906,-122.309,4365000000.0
8917100206,182,1178,182,0,190,870,4,1.5,1.5,0,0,4,7,1962,0,98052,47.6304,-122.09700000000001,6630000000.0
4136950070,139,687,139,0,159,666,3,2.5,2.0,0,0,3,8,1998,0,98092,47.2625,-122.221,3900000000.0
5469700052,140,1505,140,0,153,1295,3,1.5,1.0,0,0,3,7,1970,0,98031,47.3926,-122.167,4125000000.0
1370801020,271,510,188,83,352,510,4,2.5,1.0,0,3,3,10,1957,0,98199,47.6406,-122.412,18750000000.0
3592500985,218,434,199,19,208,357,4,2.5,2.0,0,0,3,9,1923,0,98112,47.6344,-122.305,13200000000.0
7625700935,301,557,232,69,153,557,3,3.5,2.0,0,0,3,10,2001,0,98136,47.5533,-122.391,13125000000.0
9269750690,168,706,100,68,145,706,4,2.25,1.0,0,0,3,7,1986,0,98023,47.2857,-122.35799999999999,4499250000.0
9550200470,183,426,183,0,176,426,4,1.5,2.5,0,0,3,7,1909,0,98103,47.666000000000004,-122.33200000000001,10350000000.0
6679001060,154,686,154,0,208,578,3,2.5,2.0,0,0,3,7,2003,0,98038,47.3865,-122.027,4185000000.0
7657600005,160,685,160,0,143,661,5,2.0,1.0,0,0,4,6,1944,0,98178,47.4953,-122.238,3749250000.0
2436700625,134,119,113,21,133,119,2,2.5,2.0,0,0,3,8,2006,0,98105,47.665,-122.285,8850000000.0
2909300150,269,511,269,0,275,487,4,2.5,2.0,0,0,3,8,2002,0,98074,47.6063,-122.02,10125000000.0
7199340620,187,653,132,55,165,668,4,1.75,1.0,0,0,4,7,1979,0,98052,47.6983,-122.12700000000001,7980000000.0
925059198,164,668,164,0,209,1045,3,2.0,1.0,0,0,4,7,1967,0,98033,47.6642,-122.17299999999999,7710000000.0
7202340820,230,464,230,0,223,464,4,2.5,2.0,0,0,3,7,2004,0,98053,47.6811,-122.035,8985000000.0
9385200045,154,101,142,12,140,125,3,2.5,3.0,0,1,3,9,2015,0,98116,47.5818,-122.402,10942500000.0
9276201140,206,464,103,103,134,464,3,2.0,1.0,0,0,4,7,1966,0,98116,47.5807,-122.39399999999999,8651250000.0
8732040810,164,946,116,48,192,772,4,2.75,1.0,0,0,3,8,1979,0,98023,47.3074,-122.385,3525000000.0
9523103001,78,304,78,0,135,380,2,1.0,1.0,0,0,3,6,1910,0,98103,47.6742,-122.35,5835000000.0
1483300570,306,952,222,84,181,561,4,2.5,1.0,0,0,3,7,1946,1991,98040,47.5873,-122.249,13575000000.0
3878900225,184,524,122,62,197,524,3,1.75,1.0,0,1,3,7,1963,0,98178,47.5086,-122.25200000000001,5175000000.0
8562740440,277,490,205,72,277,585,4,2.5,2.0,0,0,3,9,2003,0,98027,47.5353,-122.066,11400000000.0
2551500180,116,881,116,0,117,891,3,1.75,1.0,0,0,4,6,1971,0,98070,47.4341,-122.446,4425000000.0
4137000590,198,871,198,0,188,728,4,2.25,2.0,0,0,4,8,1986,0,98092,47.2649,-122.21799999999999,4837500000.0
9359100750,286,980,180,106,258,980,4,4.5,2.0,0,3,3,8,1976,2007,98040,47.5806,-122.244,21000000000.0
7548300751,118,194,100,18,124,692,2,1.5,2.0,0,0,3,7,2007,0,98144,47.5872,-122.30799999999999,5550000000.0
7304300470,117,1042,117,0,145,1026,3,1.75,1.0,0,0,5,7,1947,0,98155,47.7444,-122.321,5625000000.0
5637500070,141,121,109,32,117,159,3,2.5,2.0,0,0,3,8,2006,0,98136,47.5446,-122.385,6570000000.0
2976800550,104,668,104,0,104,668,3,1.5,1.0,0,0,3,7,1954,0,98178,47.5041,-122.25299999999999,4200075000.0
9269260240,248,505,248,0,228,415,4,2.25,2.0,0,0,3,7,2000,0,98011,47.7534,-122.21799999999999,7515000000.0
7525410060,194,3255,138,56,270,1963,4,2.25,1.0,0,0,3,8,1980,0,98075,47.5739,-122.03200000000001,9150000000.0
7137970340,210,585,210,0,208,650,5,2.5,2.0,0,0,3,8,1995,0,98092,47.3266,-122.169,4275000000.0
1088801350,215,892,160,55,227,892,3,2.5,1.0,0,0,3,9,1990,0,98011,47.7394,-122.204,7875000000.0
2301400640,216,464,159,57,194,464,4,2.0,1.5,0,0,5,7,1925,0,98117,47.6804,-122.35799999999999,13365000000.0
567000680,122,99,100,22,165,716,3,3.0,2.0,0,0,3,7,2003,0,98144,47.5942,-122.296,5385000000.0
316000160,137,693,104,33,135,685,3,1.0,1.5,0,0,3,6,1940,0,98168,47.5048,-122.301,3900000000.0
5364200477,95,460,95,0,207,649,3,1.0,1.0,0,0,5,7,1952,0,98105,47.6647,-122.277,10770000000.0
7334501130,86,1066,86,0,118,1045,3,2.0,1.0,0,0,3,7,1978,0,98045,47.4644,-121.745,3825000000.0
2021200530,287,613,167,120,221,464,4,2.75,1.0,0,2,3,9,1956,0,98199,47.6339,-122.396,16650000000.0
1543000060,285,597,285,0,270,474,4,2.5,2.0,0,0,3,9,2006,0,98055,47.4487,-122.205,6930000000.0
8682262190,125,392,125,0,125,409,2,2.0,1.0,0,0,3,8,2004,0,98053,47.718,-122.03399999999999,7200000000.0
3760500602,248,1645,248,0,263,2019,3,2.5,2.0,0,1,3,9,1983,0,98034,47.7031,-122.22399999999999,9121425000.0
8073000265,182,821,91,91,203,591,3,2.0,1.0,0,3,4,6,1940,0,98178,47.5101,-122.24600000000001,5400000000.0
4218400175,208,525,177,31,275,525,3,1.75,1.5,0,2,4,8,1941,0,98105,47.6621,-122.27,18975000000.0
9477101280,194,697,194,0,140,688,3,1.75,1.0,0,0,3,7,1967,0,98034,47.7326,-122.194,6374250000.0
9353301070,195,996,97,98,195,996,5,2.25,1.0,0,0,4,7,1963,0,98059,47.4922,-122.134,5137500000.0
2141300420,264,1374,178,86,306,1004,3,2.75,1.0,0,0,4,9,1976,0,98006,47.559,-122.146,11625000000.0
9448300061,94,735,94,0,142,641,2,1.0,1.0,0,0,3,6,1939,0,98108,47.5558,-122.31,3525000000.0
923000580,256,758,165,91,252,758,4,2.75,1.5,0,2,4,8,1940,0,98177,47.7248,-122.365,9210000000.0
3625700080,303,1464,185,118,380,1464,4,2.25,1.0,0,0,4,10,1974,0,98040,47.5295,-122.229,14812500000.0
3326059253,281,667,281,0,281,667,4,2.5,2.0,0,0,3,9,2005,0,98033,47.6934,-122.166,12225000000.0
6638900115,69,434,69,0,134,408,2,1.0,1.0,0,0,3,5,1948,0,98117,47.6919,-122.37100000000001,4440000000.0
5332200405,228,464,150,78,215,464,4,2.5,2.0,0,0,5,8,1938,0,98112,47.6282,-122.29299999999999,14475000000.0
5071700020,145,812,145,0,175,819,3,1.75,1.0,0,0,3,7,1960,0,98148,47.4425,-122.333,3600000000.0
5249803550,182,668,91,91,133,668,3,2.5,1.0,0,0,4,8,1940,0,98118,47.5655,-122.27,9525000000.0
9286000150,495,1683,366,129,426,1570,6,4.0,2.0,0,0,3,11,2000,0,98006,47.5503,-122.137,16875000000.0
